inst.id,n.runs,budget.time,best.f.min,best.f.mean,best.f.med,best.f.mode,best.f.max,best.f.sd,last.improvement.time.min,last.improvement.time.mean,last.improvement.time.med,last.improvement.time.mode,last.improvement.time.max,last.improvement.time.sd,total.time.min,total.time.mean,total.time.med,total.time.mode,total.time.max,total.time.sd,reach.best.f.min.runs,reach.best.f.min.time.min,reach.best.f.min.time.mean,reach.best.f.min.time.med,reach.best.f.min.time.mode,reach.best.f.min.time.max,reach.best.f.min.time.sd
ta11,19,180000,1366,1370.78947368421,1372,1372,1374,2.34707731654169,19000,77157.8947368421,86000,91000,138000,38714.4290613185,180000,180000,180000,180000,180000,0,2,91000,91000,107000,107000,123000,22627.4169979695
ta11,19,300000,1362,1369.05263157895,1370,1372,1372,3.00875914272767,19000,143526.315789474,123000,123000,268000,83015.6400398628,300000,300000,300000,300000,300000,0,1,268000,268000,268000,268000,268000,0
ta11,19,1800000,1358,1360.73684210526,1361,1361,1362,0.805681579172283,1082000,1249157.89473684,1196000,1196000,1744000,165879.562453504,1800000,1800000,1800000,1800000,1800000,0,1,1744000,1744000,1744000,1744000,1744000,0
ta11,19,1801000,1358,1360.73684210526,1361,1361,1362,0.805681579172283,1801000,1801000,1801000,1801000,1801000,0,1801000,1801000,1801000,1801000,1801000,0,1,1801000,1801000,1801000,1801000,1801000,0
ta12,20,180000,1373,1375.9,1376.5,1377,1377,1.41048703794488,6000,61500,40000,11000,170000,54125.0987600898,180000,180000,180000,180000,180000,0,2,32000,32000,90000,90000,148000,82024.3866176395
ta12,20,300000,1373,1374.9,1374,1375,1377,1.71372171173244,6000,126200,96500,96500,277000,95697.7698689721,300000,300000,300000,300000,300000,0,6,32000,32000,225500,225500,277000,92716.0539856322
ta12,20,1800000,1367,1368.75,1367,1367,1375,3.12671005842782,190000,1264350,1442500,1442500,1716000,458007.041430588,1800000,1800000,1800000,1800000,1800000,0,15,1260000,1260000,1445000,1445000,1563000,73472.8974974219
ta12,20,1801000,1367,1368.75,1367,1367,1375,3.12671005842782,1801000,1801000,1801000,1801000,1801000,0,1801000,1801000,1801000,1801000,1801000,0,15,1801000,1801000,1801000,1801000,1801000,0
ta13,20,180000,1351,1355.3,1355,1353,1360,2.73572851838697,6000,93400,93000,143500,165000,50966.8622992585,180000,180000,180000,180000,180000,0,1,162000,162000,162000,162000,162000,0
ta13,20,300000,1348,1353.9,1353.5,1353,1360,2.86356421265527,6000,138850,123500,123500,289000,89096.2076102362,300000,300000,300000,300000,300000,0,1,262000,262000,262000,262000,262000,0
ta13,20,1800000,1342,1345.55,1344,1344,1349,2.13923252347043,949000,1317000,1300500,1300500,1670000,237401.059723614,1800000,1800000,1800000,1800000,1800000,0,1,1375000,1375000,1375000,1375000,1375000,0
ta13,20,1801000,1342,1345.55,1344,1344,1349,2.13923252347043,1801000,1801000,1801000,1801000,1801000,0,1801000,1801000,1801000,1801000,1801000,0,1,1801000,1801000,1801000,1801000,1801000,0
ta14,18,180000,1345,1345,1345,1345,1345,0,6000,17944.4444444444,15000,14000,47000,10618.9188672151,180000,180000,180000,180000,180000,0,18,6000,6000,15000,14000,47000,10618.9188672151
ta14,18,300000,1345,1345,1345,1345,1345,0,6000,17944.4444444444,15000,14000,47000,10618.9188672151,300000,300000,300000,300000,300000,0,18,6000,6000,15000,14000,47000,10618.9188672151
ta14,18,1800000,1345,1345,1345,1345,1345,0,6000,17944.4444444444,15000,14000,47000,10618.9188672151,1800000,1800000,1800000,1800000,1800000,0,18,6000,6000,15000,14000,47000,10618.9188672151
ta14,18,1801000,1345,1345,1345,1345,1345,0,1801000,1801000,1801000,1801000,1801000,0,1801000,1801000,1801000,1801000,1801000,0,18,1801000,1801000,1801000,1801000,1801000,0
ta15,20,180000,1346,1353.9,1354,1354,1359,3.79611990271507,6000,70250,67000,67000,152000,44233.6797141345,180000,180000,180000,180000,180000,0,2,26000,26000,47000,47000,68000,29698.484809835
ta15,20,300000,1346,1351.9,1353,1353,1358,3.79611990271507,6000,121050,84500,84500,285000,85484.6708326611,300000,300000,300000,300000,300000,0,4,26000,26000,131000,131000,225000,96209.4070244693
ta15,20,1800000,1339,1339.65,1339,1339,1352,2.90688837074973,1279000,1483750,1498000,1498000,1554000,59738.7954700338,1800000,1800000,1800000,1800000,1800000,0,19,1405000,1405000,1499000,1499000,1554000,36268.0888524037
ta15,20,1801000,1339,1339.65,1339,1339,1352,2.90688837074973,1801000,1801000,1801000,1801000,1801000,0,1801000,1801000,1801000,1801000,1801000,0,19,1801000,1801000,1801000,1801000,1801000,0
ta16,18,180000,1367,1370.94444444444,1371,1373,1374,2.12747356995326,6000,91055.5555555556,97500,102500,170000,41394.0493339494,180000,180000,180000,180000,180000,0,1,100000,100000,100000,100000,100000,0
ta16,18,300000,1365,1369.16666666667,1370,1370,1373,2.22948160685262,32000,151944.444444444,137000,80000,289000,75791.1000690266,300000,300000,300000,300000,300000,0,2,183000,183000,205000,205000,227000,31112.6983722081
ta16,18,1800000,1360,1361.22222222222,1360,1360,1368,2.83995765410757,125000,1202722.22222222,1318000,1348000,1488000,365401.923037464,1800000,1800000,1800000,1800000,1800000,0,15,1210000,1210000,1323000,1348000,1370000,43549.4245765932
ta16,18,1801000,1360,1361.22222222222,1360,1360,1368,2.83995765410757,1801000,1801000,1801000,1801000,1801000,0,1801000,1801000,1801000,1801000,1801000,0,15,1801000,1801000,1801000,1801000,1801000,0
ta17,18,180000,1473,1477.83333333333,1478,1478,1481,1.91741247211843,6000,95666.6666666667,89000,131000,180000,54578.5995552448,180000,180000,180000,180000,180000,0,1,47000,47000,47000,47000,47000,0
