inst.id,best.f.min,n.runs
ta11,1361,1
ta17,1462,1
ta19,1335,1
ta20,1351,1
ta21,1644,1
ta22,1600,1
ta23,1557,1
ta24,1647,1
ta25,1595,1
ta26,1645,1
ta27,1680,1
ta28,1614,1
ta30,1584,1
ta33,1793,1
ta34,1829,1
ta37,1778,1
ta40,1674,1
ta42,1956,1
ta43,1859,1
ta44,1984,1
ta45,2000,1
ta46,2021,1
ta47,1903,1
ta48,1952,1
ta50,1928,1
ta51,2760,1
ta52,2756,1
ta53,2717,1
ta54,2839,1
ta55,2679,1
ta56,2781,1
ta57,2943,1
ta58,2885,1
ta59,2655,1
ta60,2723,1
ta61,2868,1
ta63,2755,1
ta64,2702,1
ta65,2725,1
ta66,2845,1
ta68,2784,1
ta69,3071,1
ta70,2995,1
ta71,5464,1
ta72,5181,1
ta73,5568,1
ta74,5339,1
ta75,5392,1
ta76,5342,1
ta77,5436,1
ta78,5394,1
ta79,5358,1
ta80,5183,1
swv16,2924,1
swv17,2794,1
swv18,2852,1
swv19,2843,1
swv20,2823,1
swv04,1474,1
swv07,1600,1
swv09,1661,1
swv11,2983,1
yn1,885,1
yn3,892,1
