inst.id,n.runs,budget.fes,best.f.mean,best.f.sd,best.f.min,best.f.max,total.time.mean
abz7,5,10000000,675.5,2.12,673,678,10542
abz8,5,10000000,686.8,4.95,683,692,10491
abz9,5,10000000,699,1.41,698,700,10465
la21,5,10000000,1049.4,2.88,1046,1051,5052
la24,5,10000000,939.2,2.68,935,941,4933
la25,5,10000000,978.4,2.19,977,982,5161
la27,5,10000000,1244.4,4.56,1238,1250,6997
la29,5,10000000,1177.4,7.54,1173,1188,6830
la38,5,10000000,1201.8,3.77,1196,1204,7802
la40,5,10000000,1230.8,3.03,1228,1235,7849
