inst.id,best.f.mean,best.f.min,total.time.mean
ft06,55,55,5400
ft10,954.5,938,407400
ft20,1169,1165,352200
yn1,906.3,899,12995400
yn2,937.3,922,11835000
yn3,909,904,7805400
yn4,1020.5,1012,9433800
ta01,1264.5,1256,2356200
ta11,1428.3,1419,4096200
ta21,1722.5,1710,8311200
ta31,1804.5,1794,15824400
ta41,2231.5,2227,19711200
ta51,3163.3,3139,39238800
ta61,2932,2929,89694000
ta71,6154.2,6130,75810000
orb01,1081.7,1059,179400
orb02,895.5,889,151200
orb03,1039.1,1018,164400
orb04,1015.3,1006,154800
orb05,893,889,189000
la01,666,666,19200
la06,926,926,19800
la16,950.2,946,152400
la21,1076.7,1053,319200
la26,1218,1218,615600
