inst.id,best.f.mean,best.f.min,total.time.mean
ft06,55,55,6600
ft10,945,938,103200
ft20,1170.5,1165,118200
yn1,898.7,896,3887400
yn2,924.3,915,4654800
yn3,905,900,4054200
yn4,988.3,984,4734000
ta01,1251.3,1241,752400
ta11,1398.5,1383,2303400
ta21,1679,1671,3900000
ta31,1767.3,1766,5025000
ta41,2081,2072,11017200
ta51,2762.5,2760,8469600
ta61,2868,2868,18147600
ta71,5464,5464,50289000
orb01,1077.8,1059,201600
orb02,890.2,889,185400
orb03,1022.4,1005,212400
orb04,1013.7,1005,184200
orb05,891.4,887,205800
la01,666,666,18000
la06,926,926,10200
la16,950.2,945,160200
la21,1053.4,1046,396600
la26,1218,1218,621000
