inst.id,n.runs,budget.fes,best.f.mean,best.f.sd,best.f.min,best.f.max,total.time.mean
abz7,5,10000000,675.2,2.8,672,678,1445.2
abz8,5,10000000,687.2,4.9,681,692,1902.6
abz9,5,10000000,703,2.9,699,706,1578.4
la21,5,10000000,1048.4,2.7,1046,1053,838.2
la24,5,10000000,939.6,1.5,938,941,570.2
la25,5,10000000,977.8,1.8,977,981,1035.2
la27,5,10000000,1245.4,3.9,1240,1250,982
la29,5,10000000,1182.6,6.1,1176,1190,1147.8
la38,5,10000000,1214.6,3,1211,1219,1143.4
la40,5,10000000,1229.2,2.68,1228,1234,1894.6
