inst.id,best.f.mean,best.f.min,total.time.mean
ft06,55,55,6600
ft10,955.3,950,556800
ft20,1177.3,1176,463200
yn1,910.8,907,15786000
yn2,949.3,944,14595000
yn3,918,918,16662000
yn4,1035,1031,14751600
ta01,1301.1,1290,2788200
ta11,1465,1453,5988000
ta21,1734.7,1725,13031400
ta31,1865.6,1854,18205800
ta41,2342,2342,39954600
ta51,3169,3102,61668000
ta61,3230,3230,147576000
ta71,6194,6130,143367600
orb01,1085.5,1059,344400
orb02,898.7,889,304200
orb03,1044.3,1024,330000
orb04,1018.4,1006,304800
orb05,894.1,890,366000
la01,666,666,36600
la06,926,926,42000
la16,975.7,946,304200
la21,1071.9,1059,782400
la26,1218,1218,1711800
