inst.id,best.f.mean,best.f.min,total.time.mean
ft06,55,55,7800
ft10,952,947,181200
ft20,1178.9,1167,126600
yn1,910.3,901,5068800
yn2,956.7,952,5173800
yn3,908.5,904,5882400
yn4,991.7,988,6120600
ta01,1287.3,1269,1203000
ta11,1405.9,1398,2512200
ta21,1685.5,1685,6183000
ta31,1870.3,1863,4596600
ta41,2085,2076,13863000
ta51,2920,2920,14869800
ta61,2868,2868,31482600
ta71,5464,5464,70378800
orb01,1079.3,1059,232200
orb02,889.7,889,228600
orb03,1023.9,1017,247200
orb04,1012.4,1005,224400
orb05,893,887,241200
la01,666,666,22200
la06,926,926,11400
la16,947.1,945,172200
la21,1073.2,1046,431400
la26,1218,1218,683400
