inst.id,n.runs,best.f.mean
la01,10,667
la02,10,676
la03,10,627
la04,10,608
la05,10,593
la06,10,926
la07,10,891
la08,10,863
la09,10,951
la10,10,958
la11,10,1222
la12,10,1039
la13,10,1150
la14,10,1292
la15,10,1256
la16,10,993
la17,10,804
la18,10,874
la19,10,895
la20,10,942
ft06,10,55
ft10,10,994
ft20,10,1247
orb01,10,1212
orb02,10,960
orb03,10,1162
orb04,10,1118
orb05,10,991
orb06,10,1163
orb07,10,441
orb08,10,1047
orb09,10,1038
la21,10,1180
la22,10,1103
la23,10,1100
la24,10,1077
la25,10,1116
la26,10,1433
la27,10,1469
la28,10,1408
la29,10,1439
la30,10,1546
la31,10,1906
la32,10,2002
la33,10,1838
la34,10,1934
la35,10,2106
la36,10,1480
la37,10,1606
la38,10,1435
la39,10,1456
la40,10,1492
