inst.id,n.runs,budget.time,best.f.min,best.f.mean,best.f.med,best.f.mode,best.f.max,best.f.sd,last.improvement.time.min,last.improvement.time.mean,last.improvement.time.med,last.improvement.time.mode,last.improvement.time.max,last.improvement.time.sd,total.time.min,total.time.mean,total.time.med,total.time.mode,total.time.max,total.time.sd,reach.best.f.min.runs,reach.best.f.min.time.min,reach.best.f.min.time.mean,reach.best.f.min.time.med,reach.best.f.min.time.mode,reach.best.f.min.time.max,reach.best.f.min.time.sd
dmu45,20,180000,3302,3315.65,3317,3318.5,3329,6.76115063393331,11000,93750,99500,145000,170000,50681.5392529926,180000,180000,180000,180000,180000,0,1,114000,114000,114000,114000,114000,0
dmu45,20,300000,3302,3313.6,3314,3312,3324,6.15928909089865,11000,135500,138500,145000,290000,82313.5852444144,300000,3e+05,300000,300000,300000,0,1,114000,114000,114000,114000,114000,0
dmu45,20,1490000,3302,3312.6,3312,3310.5,3324,6.36933442775865,22000,231750,142500,145000,1490000,323818.804921908,1490000,1490000,1490000,1490000,1490000,0,1,114000,114000,114000,114000,114000,0
dmu45,20,NA,3297,3306.4,3308,3309,3312,4.75062322781249,1490000,1685350,1744000,1649000,1812000,124584.477786212,1490000,1685350,1744000,1649000,1812000,124584.477786212,2,1540000,1540000,1644000,1644000,1748000,147078.210486802
dmu41,20,180000,3297,3316.95,3317.5,3312,3340,10.4653563823945,9000,102200,110000,29000,176000,52572.3561539612,180000,180000,180000,180000,180000,0,1,95000,95000,95000,95000,95000,0
dmu41,20,300000,3297,3312.6,3312.5,3312,3326,8.36282500745192,9000,152150,147000,270000,300000,91115.4704063389,300000,3e+05,300000,300000,300000,0,1,95000,95000,95000,95000,95000,0
dmu41,20,964000,3297,3312.6,3312.5,3312,3326,8.36282500745192,9000,195600,163000,270000,964000,202070.180617371,964000,964000,964000,964000,964000,0,1,964000,964000,964000,964000,964000,0
dmu41,20,NA,3288,3301.65,3302,3301.5,3311,5.96723509984667,964000,1381100,1434000,1458500,1519000,183538.006963136,964000,1381100,1434000,1458500,1519000,183538.006963136,1,1417000,1417000,1417000,1417000,1417000,0
dmu42,20,180000,3419,3438.1,3437.5,3436,3451,8.68089250808015,20000,94500,95000,64000,172000,41861.2998012798,180000,180000,180000,180000,180000,0,1,171000,171000,171000,171000,171000,0
dmu42,20,300000,3413,3433.8,3435.5,3435.5,3446,8.14732762127687,20000,187600,200000,200000,298000,87823.6270811233,300000,3e+05,300000,300000,300000,0,1,256000,256000,256000,256000,256000,0
dmu42,20,1481000,3413,3431.75,3432,3436,3446,9.03137804953841,54000,345050,256500,256500,1481000,349522.151244419,1481000,1481000,1481000,1481000,1481000,0,1,256000,256000,256000,256000,256000,0
